Website,Timestamp,BYPASS_PROXY_1 Result,BYPASS_PROXY_1 Start Time,BYPASS_PROXY_1 Failure Time,BYPASS_PROXY_2 Result,BYPASS_PROXY_2 Start Time,BYPASS_PROXY_2 Failure Time,BYPASS_PROXY_3 Result,BYPASS_PROXY_3 Start Time,BYPASS_PROXY_3 Failure Time,QUIC_PROXY_1 Result,QUIC_PROXY_1 Start Time,QUIC_PROXY_1 Failure Time,QUIC_PROXY_2 Result,QUIC_PROXY_2 Start Time,QUIC_PROXY_2 Failure Time,QUIC_PROXY_3 Result,QUIC_PROXY_3 Start Time,QUIC_PROXY_3 Failure Time
onclickads,06-04 13:37:25,True,06-04 13:37:40,1.3479740619659424,True,06-04 13:37:44,1.4291908740997314,True,06-04 13:37:49,1.1194109916687012,False,06-04 13:37:29,0.31036996841430664,False,06-04 13:37:33,0.324509859085083,False,06-04 13:37:36,0.42194199562072754
ebay,06-04 13:37:52,True,06-04 13:38:04,1.5264008045196533,True,06-04 13:38:09,1.8175549507141113,True,06-04 13:38:14,1.508993148803711,False,06-04 13:37:53,0.49228429794311523,False,06-04 13:37:57,0.397615909576416,False,06-04 13:38:01,0.47116994857788086
