Website,Protocol,Run,TTFB,PLT
http://twitter.com/,QUIC-2,NORMAL-BYPASS,128.407,517.6029999256134
http://twitter.com/,QUIC-1,NORMAL-BYPASS,87.42899999999999,467.81699991226196
http://twitter.com/,QUIC-0,NORMAL-BYPASS,94.557,476.6759999990463
http://twitter.com/,HTTPS-0,NORMAL-BYPASS,110.567,574.3899999856949
http://twitter.com/,HTTPS-1,NORMAL-BYPASS,90.244,536.1670001745224
http://twitter.com/,HTTPS-2,NORMAL-BYPASS,89.79299999999999,471.92199993133545
http://twitter.com/,HTTPS-0,NORMAL-HTTP,148.221,2466.0789999961853
http://twitter.com/,QUIC-2,NORMAL-QUIC,136.84900000000005,1197.7879999876022
http://twitter.com/,HTTPS-1,NORMAL-HTTP,143.91500000000002,1252.5349999666214
http://twitter.com/,QUIC-0,NORMAL-QUIC,180.90700000000004,2647.608999967575
http://twitter.com/,QUIC-1,NORMAL-QUIC,148.61200000000002,2866.051999926567
http://twitter.com/,QUIC-1,NORMAL-HTTP,164.825,1710.9049999713898
http://twitter.com/,QUIC-2,NORMAL-HTTP,255.61399999999998,2292.602000117302
http://wikipedia.org/,QUIC-2,NORMAL-BYPASS,35.521,477.8249999284744
http://wikipedia.org/,QUIC-1,NORMAL-BYPASS,33.329,473.9190000295639
http://wikipedia.org/,QUIC-0,NORMAL-BYPASS,34.323,559.8149999380112
http://wikipedia.org/,HTTPS-0,NORMAL-BYPASS,32.97,461.0479999780655
http://wikipedia.org/,HTTPS-1,NORMAL-BYPASS,33.268,461.0770000219345
http://wikipedia.org/,HTTPS-2,NORMAL-BYPASS,37.217,464.77300000190735
http://wikipedia.org/,HTTPS-0,NORMAL-HTTP,68.00099999999998,1163.5649999380112
http://wikipedia.org/,QUIC-2,NORMAL-QUIC,71.49499999999998,1056.1110000610352
http://wikipedia.org/,HTTPS-1,NORMAL-HTTP,69.61899999999997,1165.845999956131
http://wikipedia.org/,QUIC-0,NORMAL-QUIC,71.80799999999999,1232.7269999980927
http://wikipedia.org/,QUIC-1,NORMAL-QUIC,66.882,1071.5080001354218
http://wikipedia.org/,HTTPS-2,NORMAL-HTTP,64.99200000000002,1162.4910000562668
http://wikipedia.org/,QUIC-1,NORMAL-HTTP,72.67099999999999,1049.891000032425
http://wikipedia.org/,QUIC-0,NORMAL-HTTP,74.90800000000002,1116.6669999361038
http://wikipedia.org/,QUIC-2,NORMAL-HTTP,70.029,985.5820000171661
http://amazon.com/,QUIC-2,NORMAL-BYPASS,89.851,2278.816999912262
http://amazon.com/,QUIC-1,NORMAL-BYPASS,91.92000000000002,2560.186000108719
http://amazon.com/,QUIC-0,NORMAL-BYPASS,103.05100000000002,2317.5909999608994
http://amazon.com/,HTTPS-0,NORMAL-BYPASS,84.184,2382.309000015259
http://amazon.com/,HTTPS-1,NORMAL-BYPASS,121.6,2469.5179998874664
http://amazon.com/,HTTPS-2,NORMAL-BYPASS,95.548,2686.24899995327
http://amazon.com/,HTTPS-0,NORMAL-HTTP,111.90499999999997,5203.053000092506
http://amazon.com/,QUIC-0,NORMAL-QUIC,153.56300000000005,4616.023999929428
http://amazon.com/,QUIC-1,NORMAL-QUIC,116.786,6675.238999962807
http://amazon.com/,HTTPS-2,NORMAL-HTTP,123.62900000000002,8350.016999959946
http://amazon.com/,QUIC-1,NORMAL-HTTP,133.64499999999998,5427.184000015259
http://amazon.com/,QUIC-0,NORMAL-HTTP,139.863,7188.054000020027
http://amazon.com/,QUIC-2,NORMAL-HTTP,177.98199999999997,5522.986999869347
http://baidu.com/,QUIC-2,NORMAL-BYPASS,254.817,503.7919999361038
http://baidu.com/,QUIC-1,NORMAL-BYPASS,342.82,622.8849999904633
http://baidu.com/,QUIC-0,NORMAL-BYPASS,246.20999999999992,527.0209999084473
http://baidu.com/,HTTPS-0,NORMAL-BYPASS,400.055,646.4279999732971
http://baidu.com/,HTTPS-1,NORMAL-BYPASS,270.93800000000005,550.4129999876022
http://baidu.com/,HTTPS-2,NORMAL-BYPASS,240.85199999999998,510.98599994182587
http://baidu.com/,HTTPS-0,NORMAL-HTTP,518.077,643.4830000400543
http://baidu.com/,QUIC-2,NORMAL-QUIC,342.124,467.9169999361038
http://baidu.com/,HTTPS-1,NORMAL-HTTP,218.464,347.9080001115799
http://baidu.com/,QUIC-0,NORMAL-QUIC,388.064,515.222000002861
http://baidu.com/,QUIC-1,NORMAL-QUIC,279.751,407.2099999189377
http://baidu.com/,HTTPS-2,NORMAL-HTTP,237.794,365.1729998588562
http://baidu.com/,QUIC-1,NORMAL-HTTP,386.994,513.5
http://baidu.com/,QUIC-0,NORMAL-HTTP,951.636,1080.4919999837875
http://baidu.com/,QUIC-2,NORMAL-HTTP,389.85,516.7039999961853
http://google.co.jp/,QUIC-2,NORMAL-BYPASS,78.716,653.0909999608994
http://google.co.jp/,QUIC-1,NORMAL-BYPASS,72.19900000000001,639.8569999933243
http://google.co.jp/,QUIC-0,NORMAL-BYPASS,82.67999999999999,350.92199993133545
http://google.co.jp/,HTTPS-0,NORMAL-BYPASS,68.981,316.58899998664856
http://google.co.jp/,HTTPS-1,NORMAL-BYPASS,70.98599999999999,330.13699996471405
http://google.co.jp/,HTTPS-2,NORMAL-BYPASS,72.20599999999999,317.7239999771118
http://google.co.jp/,QUIC-2,NORMAL-QUIC,153.69599999999997,1939.6049998998642
http://google.co.jp/,QUIC-0,NORMAL-QUIC,153.59200000000004,2396.5520000457764
http://google.co.jp/,QUIC-1,NORMAL-QUIC,147.76099999999997,1920.6100000143051
http://google.co.jp/,QUIC-1,NORMAL-HTTP,160.26299999999998,2029.5089999437332
http://google.co.jp/,QUIC-0,NORMAL-HTTP,151.47199999999998,2770.6640000343323
http://google.co.jp/,QUIC-2,NORMAL-HTTP,164.55399999999997,1756.5089999437332
http://youtube.com/,QUIC-2,NORMAL-BYPASS,48.786,916.5310001373291
http://youtube.com/,QUIC-1,NORMAL-BYPASS,57.562000000000005,889.808000087738
http://youtube.com/,QUIC-0,NORMAL-BYPASS,49.79900000000001,749.3069999217987
http://youtube.com/,HTTPS-0,NORMAL-BYPASS,49.455000000000005,833.3119999170303
http://youtube.com/,HTTPS-1,NORMAL-BYPASS,46.608999999999995,834.6949999332428
http://youtube.com/,HTTPS-2,NORMAL-BYPASS,49.263,821.4100000858307
